Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 0:00,11/1/2016 1:00,185547
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 0:00,11/1/2016 1:00,0
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 0:00,11/1/2016 1:00,1175462
AmazonEC2,PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/1/2016 0:00,11/1/2016 1:00,988
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 0:00,11/1/2016 1:00,185763
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/1/2016 0:00,11/1/2016 1:00,228
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,11/1/2016 0:00,11/1/2016 1:00,21280
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 0:00,11/1/2016 1:00,8016
AmazonEC2,LoadBalancing,USW2-TestDataProcessing-Bytes,,11/1/2016 0:00,11/1/2016 1:00,5561
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 0:00,11/1/2016 1:00,1834
AmazonEC2,LoadBalancing,USW2-DataTransfer-In-Bytes,,11/1/2016 0:00,11/1/2016 1:00,3149
AmazonEC2,Unknown,USW2-CW:AlarmMonitorUsage,,11/1/2016 0:00,11/1/2016 1:00,3
AmazonEC2,LoadBalancing,USW2-DataProcessing-Bytes,,11/1/2016 0:00,11/1/2016 1:00,5561
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 0:00,11/1/2016 1:00,1175350
AmazonEC2,LoadBalancing,USW2-DataTransfer-Out-Bytes,,11/1/2016 0:00,11/1/2016 1:00,21868
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 0:00,11/1/2016 1:00,1
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/1/2016 0:00,11/1/2016 1:00,3
AmazonEC2,CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,,11/1/2016 0:00,11/1/2016 1:00,25769803776
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/1/2016 0:00,11/1/2016 1:00,1
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 1:00,11/1/2016 2:00,1
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/1/2016 1:00,11/1/2016 2:00,304
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 1:00,11/1/2016 2:00,0
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 1:00,11/1/2016 2:00,1169864
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,11/1/2016 1:00,11/1/2016 2:00,5596
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 1:00,11/1/2016 2:00,1941
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/1/2016 1:00,11/1/2016 2:00,1
AmazonEC2,RunInstances,USW2-C3DataTransfer-In-Bytes,,11/1/2016 1:00,11/1/2016 2:00,11230
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 1:00,11/1/2016 2:00,696
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 1:00,11/1/2016 2:00,180480
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/1/2016 1:00,11/1/2016 2:00,3
AmazonEC2,RunInstances,USW2-CloudFront-Out-Bytes,,11/1/2016 1:00,11/1/2016 2:00,3265
AmazonEC2,Unknown,USW2-CW:AlarmMonitorUsage,,11/1/2016 1:00,11/1/2016 2:00,3
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 1:00,11/1/2016 2:00,1169864
AmazonEC2,CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,,11/1/2016 1:00,11/1/2016 2:00,25769803776
AmazonEC2,LoadBalancing,USW2-DataTransfer-Out-Bytes,,11/1/2016 1:00,11/1/2016 2:00,15408
AmazonEC2,RunInstances,USW2-CloudFront-In-Bytes,,11/1/2016 1:00,11/1/2016 2:00,8567
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 1:00,11/1/2016 2:00,180480
AmazonEC2,LoadBalancing,USW2-DataTransfer-In-Bytes,,11/1/2016 1:00,11/1/2016 2:00,80
AmazonEC2,RunInstances,USW2-C3DataTransfer-Out-Bytes,,11/1/2016 1:00,11/1/2016 2:00,3434
AmazonEC2,PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/1/2016 1:00,11/1/2016 2:00,1064
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 2:00,11/1/2016 3:00,180480
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 2:00,11/1/2016 3:00,1776
AmazonEC2,LoadBalancing,USW2-DataTransfer-Out-Bytes,,11/1/2016 2:00,11/1/2016 3:00,14880
AmazonEC2,CreateVolume-Gp2,USW2-EBS:VolumeUsage.gp2,,11/1/2016 2:00,11/1/2016 3:00,25769803776
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 2:00,11/1/2016 3:00,1174574
AmazonEC2,RunInstances,USW2-DataTransfer-Out-Bytes,,11/1/2016 2:00,11/1/2016 3:00,6343
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/1/2016 2:00,11/1/2016 3:00,228
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 2:00,11/1/2016 3:00,1169812
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/1/2016 2:00,11/1/2016 3:00,3
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 2:00,11/1/2016 3:00,1
AmazonEC2,EBS:Gp2-IO-Read,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 2:00,11/1/2016 3:00,0
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 2:00,11/1/2016 3:00,1322
AmazonEC2,Unknown,USW2-CW:AlarmMonitorUsage,,11/1/2016 2:00,11/1/2016 3:00,3
AmazonEC2,PublicIP-Out,USW2-USE1-AWS-Out-Bytes,,11/1/2016 2:00,11/1/2016 3:00,912
AmazonEC2,Unknown,CW:AlarmMonitorUsage,,11/1/2016 2:00,11/1/2016 3:00,1
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-Out-Bytes,,11/1/2016 2:00,11/1/2016 3:00,181016
AmazonEC2,RunInstances,USW2-BoxUsage:t2.micro,,11/1/2016 3:00,11/1/2016 4:00,3
AmazonEC2,RunInstances,USW2-DataTransfer-In-Bytes,,11/1/2016 3:00,11/1/2016 4:00,12002
AmazonEC2,RunInstances,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 3:00,11/1/2016 4:00,180696
AmazonEC2,LoadBalancing,USW2-LoadBalancerUsage,,11/1/2016 3:00,11/1/2016 4:00,1
AmazonEC2,LoadBalancing,USW2-DataTransfer-ELB-In-Bytes,,11/1/2016 3:00,11/1/2016 4:00,1170192
AmazonEC2,RunInstances,USW2-C3DataTransfer-Out-Bytes,,11/1/2016 3:00,11/1/2016 4:00,1660
AmazonEC2,EBS:Gp2-IO-Write,USW2-EBS:VolumeIOUsage.gp2,,11/1/2016 3:00,11/1/2016 4:00,2655
AmazonEC2,PublicIP-In,USW2-USE1-AWS-In-Bytes,,11/1/2016 3:00,11/1/2016 4:00,304
